anchor_id,province,pcpuid,name,evidence_basis,evidence_url,notes
st-johns,NL,100792,St. John's,map_inferred,https://natural-resources.canada.ca/energy-sources/fossil-fuels/refining-sector-canada,Approximate market shown on the qualitative refinery-supply-orbit map; verify against a terminal inventory before interpreting as a physical terminal.
charlottetown,PE,110159,Charlottetown,map_inferred,https://natural-resources.canada.ca/energy-sources/fossil-fuels/refining-sector-canada,Approximate market shown on the qualitative refinery-supply-orbit map; verify against a terminal inventory before interpreting as a physical terminal.
halifax,NS,120348,Halifax,map_inferred,https://natural-resources.canada.ca/energy-sources/fossil-fuels/refining-sector-canada,Approximate Atlantic market shown on the qualitative refinery-supply-orbit map.
saint-john,NB,130734,Saint John,map_inferred,https://natural-resources.canada.ca/energy-sources/fossil-fuels/refining-sector-canada,Approximate Atlantic refinery market shown on the qualitative refinery-supply-orbit map.
montreal,QC,240547,Montreal,text_named,https://natural-resources.canada.ca/energy-sources/fossil-fuels/petroleum-products-distribution-networks,NRCan names Montreal as a major exchange and terminal market.
quebec-city,QC,240685,Quebec City,text_named,https://natural-resources.canada.ca/energy-sources/fossil-fuels/petroleum-products-distribution-networks,NRCan names Quebec City and the nearby refinery-to-Montreal movement.
sarnia,ON,350737,Sarnia,text_named,https://natural-resources.canada.ca/energy-sources/fossil-fuels/petroleum-products-distribution-networks,NRCan identifies product pipelines from Sarnia refineries into the Toronto market.
toronto,ON,350944,Toronto,text_named,https://natural-resources.canada.ca/energy-sources/fossil-fuels/petroleum-products-distribution-networks,NRCan describes Toronto as a location where essentially all refiners maintain terminals.
ottawa,ON,350616,Ottawa - Gatineau,text_named,https://natural-resources.canada.ca/energy-sources/fossil-fuels/petroleum-products-distribution-networks,NRCan identifies Ottawa supply via the Trans Northern Pipeline; this row uses the Ontario provincial component.
cornwall,ON,350205,Cornwall,text_named,https://natural-resources.canada.ca/energy-sources/fossil-fuels/petroleum-products-distribution-networks,NRCan identifies Cornwall supply via the Trans Northern Pipeline.
sault-ste-marie,ON,350739,Sault Ste. Marie,text_named,https://natural-resources.canada.ca/energy-sources/fossil-fuels/petroleum-products-distribution-networks,NRCan identifies marine and rail product movements into Sault Ste. Marie.
thunder-bay,ON,350935,Thunder Bay,text_named,https://natural-resources.canada.ca/energy-sources/fossil-fuels/petroleum-products-distribution-networks,NRCan identifies marine and Winnipeg rail supply into Thunder Bay.
winnipeg,MB,461036,Winnipeg,text_named,https://natural-resources.canada.ca/energy-sources/fossil-fuels/petroleum-products-distribution-networks,NRCan identifies Winnipeg as the rail origin supplying Thunder Bay.
regina,SK,470698,Regina,map_inferred,https://natural-resources.canada.ca/energy-sources/fossil-fuels/refining-sector-canada,Approximate Prairie market shown on the qualitative refinery-supply-orbit map.
saskatoon,SK,470738,Saskatoon,map_inferred,https://natural-resources.canada.ca/energy-sources/fossil-fuels/refining-sector-canada,Approximate Prairie market shown on the qualitative refinery-supply-orbit map.
edmonton,AB,480252,Edmonton,text_named,https://natural-resources.canada.ca/energy-sources/fossil-fuels/petroleum-products-distribution-networks,NRCan identifies Edmonton refineries as major western suppliers.
calgary,AB,480115,Calgary,map_inferred,https://natural-resources.canada.ca/energy-sources/fossil-fuels/refining-sector-canada,Approximate Alberta market shown on the qualitative refinery-supply-orbit map.
vancouver,BC,590973,Vancouver,text_named,https://natural-resources.canada.ca/energy-sources/fossil-fuels/petroleum-products-distribution-networks,NRCan identifies Vancouver supply from Edmonton local refining and imports.
